"","Oeuvre","motifs","n","total","nrel","Balzac-Goriot.txt-ut8.txt","Flaubert-Bovary.txt-ut8.txt","Huysmans-Rebours.txt-ut8.txt"
"203","Balzac-Goriot.txt-ut8.txt","le ADJ NC de le",29,110662,0.000262059243462074,-2.28,-2.5086,7.8914
"204","Balzac-Goriot.txt-ut8.txt","le NC de ce NC",29,110662,0.000262059243462074,-0.3731,-5.4473,6.4508
"205","Balzac-Goriot.txt-ut8.txt","NC , de le NC",29,110662,0.000262059243462074,-17.7838,-1.3609,Inf
"206","Flaubert-Bovary.txt-ut8.txt","à le milieu de le",29,141162,0.00020543772403338,-2.1155,3.8944,-1.2299
"207","Flaubert-Bovary.txt-ut8.txt","le NC . NP ,",29,141162,0.00020543772403338,-0.3181,2.1826,-3.4933
"208","Huysmans-Rebours.txt-ut8.txt",", PPAS par le NC",29,79201,0.000366156992967261,-2.7413,-3.32,9.4842
"209","Huysmans-Rebours.txt-ut8.txt","le NC ADJ , de",29,79201,0.000366156992967261,-4.0297,-1.4926,7.7064
"210","Huysmans-Rebours.txt-ut8.txt","le NC de NC ADJ",29,79201,0.000366156992967261,-5.1519,0.6453,3.1635
"211","Huysmans-Rebours.txt-ut8.txt","le NC PPAS de le",29,79201,0.000366156992967261,-4.8873,-1.9211,9.4842
"212","Huysmans-Rebours.txt-ut8.txt","NC , de le NP",29,79201,0.000366156992967261,-5.1252,-7.0016,Inf
"213","Huysmans-Rebours.txt-ut8.txt","NC de le NC PPAS",29,79201,0.000366156992967261,-2.2149,-2.9146,8.0253
"214","Huysmans-Rebours.txt-ut8.txt","par le NC de le",29,79201,0.000366156992967261,-1.0156,-0.933,2.6005
