"","mots","ngrammot","motifs","Oeuvre"
"303",",",", et si terriblement",", et si ADVINT","Balzac-Goriot"
"304","et","et si terriblement agitée","et si ADVINT PPAS","Balzac-Goriot"
"305","si","si terriblement agitée qu’","si ADVINT PPAS NP","Balzac-Goriot"
"306","terriblement","terriblement agitée qu’ il","ADVINT PPAS NP il","Balzac-Goriot"
"307","agitée","agitée qu’ il faut","PPAS NP il PRES","Balzac-Goriot"
"308","qu’","qu’ il faut je","NP il PRES je","Balzac-Goriot"
"309","il","il faut je ne","il PRES je ne","Balzac-Goriot"
"310","faut","faut je ne sais","PRES je ne PRES","Balzac-Goriot"
"311","je","je ne sais quoi","je ne PRES quoi","Balzac-Goriot"
"312","ne","ne sais quoi d’","ne PRES quoi NP","Balzac-Goriot"
"313","sais","sais quoi d’ exorbitant","PRES quoi NP PPRES","Balzac-Goriot"
"314","quoi","quoi d’ exorbitant pour","quoi NP PPRES pour","Balzac-Goriot"
"315","d’","d’ exorbitant pour y","NP PPRES pour y","Balzac-Goriot"
"316","exorbitant","exorbitant pour y produire","PPRES pour y INF","Balzac-Goriot"
"317","pour","pour y produire une","pour y INF un","Balzac-Goriot"
"318","y","y produire une sensation","y INF un NCABS","Balzac-Goriot"
"319","produire","produire une sensation de","INF un NCABS de","Balzac-Goriot"
"320","une","une sensation de quelque","un NCABS de quelque","Balzac-Goriot"
"321","sensation","sensation de quelque durée","NCABS de quelque NC","Balzac-Goriot"
"322","de","de quelque durée .","de quelque NC .","Balzac-Goriot"
"323","quelque","quelque durée . Cependant","quelque NC . cependant","Balzac-Goriot"
"324","durée","durée . Cependant il","NC . cependant il","Balzac-Goriot"
"325",".",". Cependant il s’",". cependant il NP","Balzac-Goriot"
"326","Cependant","Cependant il s’ y","cependant il NP y","Balzac-Goriot"
"327","il","il s’ y rencontre","il NP y PRES","Balzac-Goriot"
"328","s’","s’ y rencontre çà","NP y PRES ADV","Balzac-Goriot"
"329","y","y rencontre çà et","y PRES ADV et","Balzac-Goriot"
"330","rencontre","rencontre çà et là","PRES ADV et là","Balzac-Goriot"
"331","çà","çà et là les","ADV et là le","Balzac-Goriot"
"332","et","et là les douleurs","et là le NCABS","Balzac-Goriot"
"333","là","là les douleurs que","là le NCABS que","Balzac-Goriot"
"334","les","les douleurs que l’","le NCABS que NP","Balzac-Goriot"
"335","douleurs","douleurs que l’ agglomération","NCABS que NP NC","Balzac-Goriot"
"336","que","que l’ agglomération les","que NP NC le","Balzac-Goriot"
"337","l’","l’ agglomération les vices","NP NC le NC","Balzac-Goriot"
"338","agglomération","agglomération les vices et","NC le NC et","Balzac-Goriot"
"339","les","les vices et les","le NC et le","Balzac-Goriot"
"340","vices","vices et les vertus","NC et le NC","Balzac-Goriot"
"341","et","et les vertus rend","et le NC PRES","Balzac-Goriot"
"342","les","les vertus rend grandes","le NC PRES ADJ","Balzac-Goriot"
"343","vertus","vertus rend grandes et","NC PRES ADJ et","Balzac-Goriot"
"344","rend","rend grandes et solennelles","PRES ADJ et ADJ","Balzac-Goriot"
"345","grandes","grandes et solennelles :","ADJ et ADJ :","Balzac-Goriot"
"346","et","et solennelles : à","et ADJ : à","Balzac-Goriot"
"347","solennelles","solennelles : à leur","ADJ : à DETPOSS","Balzac-Goriot"
"348",":",": à leur aspect",": à DETPOSS NC","Balzac-Goriot"
"349","à","à leur aspect ,","à DETPOSS NC ,","Balzac-Goriot"
"350","leur","leur aspect , les","DETPOSS NC , le","Balzac-Goriot"
"351","aspect","aspect , les égoïsmes","NC , le NCABS","Balzac-Goriot"
"352",",",", les égoïsmes ,",", le NCABS ,","Balzac-Goriot"
"353","les","les égoïsmes , les","le NCABS , le","Balzac-Goriot"
"354","égoïsmes","égoïsmes , les intérêts","NCABS , le NCABS","Balzac-Goriot"
"355",",",", les intérêts ,",", le NCABS ,","Balzac-Goriot"
"356","les","les intérêts , s’","le NCABS , NP","Balzac-Goriot"
"357","intérêts","intérêts , s’ arrêtent","NCABS , NP PRES","Balzac-Goriot"
"358",",",", s’ arrêtent et",", NP PRES et","Balzac-Goriot"
"359","s’","s’ arrêtent et s’","NP PRES et NP","Balzac-Goriot"
"360","arrêtent","arrêtent et s’ apitoient","PRES et NP PRES","Balzac-Goriot"
"361","et","et s’ apitoient ;","et NP PRES ;","Balzac-Goriot"
"362","s’","s’ apitoient ; mais","NP PRES ; mais","Balzac-Goriot"
"363","apitoient","apitoient ; mais l’","PRES ; mais NP","Balzac-Goriot"
"364",";","; mais l’ impression","; mais NP NC","Balzac-Goriot"
"365","mais","mais l’ impression qu’","mais NP NC NP","Balzac-Goriot"
"366","l’","l’ impression qu’ ils","NP NC NP ils","Balzac-Goriot"
"367","impression","impression qu’ ils en","NC NP ils en","Balzac-Goriot"
"368","qu’","qu’ ils en reçoivent","NP ils en PRES","Balzac-Goriot"
"369","ils","ils en reçoivent est","ils en PRES être","Balzac-Goriot"
"370","en","en reçoivent est comme","en PRES être comme","Balzac-Goriot"
"371","reçoivent","reçoivent est comme un","PRES être comme un","Balzac-Goriot"
"372","est","est comme un fruit","être comme un NC","Balzac-Goriot"
"373","comme","comme un fruit savoureux","comme un NC ADJ","Balzac-Goriot"
"374","un","un fruit savoureux promptement","un NC ADJ ADV","Balzac-Goriot"
"375","fruit","fruit savoureux promptement dévoré","NC ADJ ADV PPAS","Balzac-Goriot"
"376","savoureux","savoureux promptement dévoré .","ADJ ADV PPAS .","Balzac-Goriot"
"377","promptement","promptement dévoré . Le","ADV PPAS . le","Balzac-Goriot"
"378","dévoré","dévoré . Le char","PPAS . le NC","Balzac-Goriot"
"379",".",". Le char de",". le NC de","Balzac-Goriot"
"380","Le","Le char de la","le NC de le","Balzac-Goriot"
"381","char","char de la civilisation","NC de le NC","Balzac-Goriot"
"382","de","de la civilisation ,","de le NC ,","Balzac-Goriot"
