"","mots","ngrammot","motifs","Oeuvre"
"383","la","la civilisation , semblable","le NC , ADJ","Balzac-Goriot"
"384","civilisation","civilisation , semblable à","NC , ADJ à","Balzac-Goriot"
"385",",",", semblable à celui",", ADJ à celui","Balzac-Goriot"
"386","semblable","semblable à celui de","ADJ à celui de","Balzac-Goriot"
"387","à","à celui de l’","à celui de NP","Balzac-Goriot"
"388","celui","celui de l’ idole","celui de NP ADJ","Balzac-Goriot"
"389","de","de l’ idole de","de NP ADJ de","Balzac-Goriot"
"390","l’","l’ idole de Jaggernat","NP ADJ de NP","Balzac-Goriot"
"391","idole","idole de Jaggernat ,","ADJ de NP ,","Balzac-Goriot"
"392","de","de Jaggernat , à","de NP , à","Balzac-Goriot"
"393","Jaggernat","Jaggernat , à peine","NP , à NCABS","Balzac-Goriot"
"394",",",", à peine retardé",", à NCABS PPAS","Balzac-Goriot"
"395","à","à peine retardé par","à NCABS PPAS par","Balzac-Goriot"
"396","peine","peine retardé par un","NCABS PPAS par un","Balzac-Goriot"
"397","retardé","retardé par un cœur","PPAS par un NC","Balzac-Goriot"
"398","par","par un cœur moins","par un NC moins","Balzac-Goriot"
"399","un","un cœur moins facile","un NC moins ADJ","Balzac-Goriot"
"400","cœur","cœur moins facile à","NC moins ADJ à","Balzac-Goriot"
"401","moins","moins facile à broyer","moins ADJ à INF","Balzac-Goriot"
"402","facile","facile à broyer que","ADJ à INF que","Balzac-Goriot"
"403","à","à broyer que les","à INF que le","Balzac-Goriot"
"404","broyer","broyer que les autres","INF que le NC","Balzac-Goriot"
"405","que","que les autres et","que le NC et","Balzac-Goriot"
"406","les","les autres et qui","le NC et qui","Balzac-Goriot"
"407","autres","autres et qui enraie","NC et qui PRES","Balzac-Goriot"
"408","et","et qui enraie sa","et qui PRES DETPOSS","Balzac-Goriot"
"409","qui","qui enraie sa roue","qui PRES DETPOSS NC","Balzac-Goriot"
"410","enraie","enraie sa roue ,","PRES DETPOSS NC ,","Balzac-Goriot"
"411","sa","sa roue , l’","DETPOSS NC , NP","Balzac-Goriot"
"412","roue","roue , l’ a","NC , NP avoir","Balzac-Goriot"
"413",",",", l’ a brisé",", NP avoir PPAS","Balzac-Goriot"
"414","l’","l’ a brisé bientôt","NP avoir PPAS bientôt","Balzac-Goriot"
"415","a","a brisé bientôt et","avoir PPAS bientôt et","Balzac-Goriot"
"416","brisé","brisé bientôt et continue","PPAS bientôt et PRES","Balzac-Goriot"
"417","bientôt","bientôt et continue sa","bientôt et PRES DETPOSS","Balzac-Goriot"
"418","et","et continue sa marche","et PRES DETPOSS NC","Balzac-Goriot"
"419","continue","continue sa marche glorieuse","PRES DETPOSS NC ADJ","Balzac-Goriot"
"420","sa","sa marche glorieuse .","DETPOSS NC ADJ .","Balzac-Goriot"
"421","marche","marche glorieuse . Ainsi","NC ADJ . ainsi","Balzac-Goriot"
"422","glorieuse","glorieuse . Ainsi ferez-vous","ADJ . ainsi ferez-le","Balzac-Goriot"
"423",".",". Ainsi ferez-vous ,",". ainsi ferez-le ,","Balzac-Goriot"
"424","Ainsi","Ainsi ferez-vous , vous","ainsi ferez-le , vous","Balzac-Goriot"
"425","ferez-vous","ferez-vous , vous qui","ferez-le , vous qui","Balzac-Goriot"
"426",",",", vous qui tenez",", vous qui PRES","Balzac-Goriot"
"427","vous","vous qui tenez ce","vous qui PRES ce","Balzac-Goriot"
"428","qui","qui tenez ce livre","qui PRES ce NC","Balzac-Goriot"
"429","tenez","tenez ce livre d’","PRES ce NC NP","Balzac-Goriot"
"430","ce","ce livre d’ une","ce NC NP un","Balzac-Goriot"
"431","livre","livre d’ une main","NC NP un NCCOR","Balzac-Goriot"
"432","d’","d’ une main blanche","NP un NCCOR ADJ","Balzac-Goriot"
"433","une","une main blanche ,","un NCCOR ADJ ,","Balzac-Goriot"
"434","main","main blanche , vous","NCCOR ADJ , vous","Balzac-Goriot"
"435","blanche","blanche , vous qui","ADJ , vous qui","Balzac-Goriot"
"436",",",", vous qui vous",", vous qui vous","Balzac-Goriot"
"437","vous","vous qui vous enfoncez","vous qui vous PRES","Balzac-Goriot"
"438","qui","qui vous enfoncez dans","qui vous PRES dans","Balzac-Goriot"
"439","vous","vous enfoncez dans un","vous PRES dans un","Balzac-Goriot"
"440","enfoncez","enfoncez dans un moelleux","PRES dans un NC","Balzac-Goriot"
"441","dans","dans un moelleux fauteuil","dans un NC ADJ","Balzac-Goriot"
"442","un","un moelleux fauteuil en","un NC ADJ en","Balzac-Goriot"
"443","moelleux","moelleux fauteuil en vous","NC ADJ en vous","Balzac-Goriot"
"444","fauteuil","fauteuil en vous disant","ADJ en vous PPRES","Balzac-Goriot"
"445","en","en vous disant :","en vous PPRES :","Balzac-Goriot"
"446","vous","vous disant : Peut-être","vous PPRES : ADV","Balzac-Goriot"
"447","disant","disant : Peut-être ceci","PPRES : ADV ceci","Balzac-Goriot"
"448",":",": Peut-être ceci va",": ADV ceci PRES","Balzac-Goriot"
"449","Peut-être","Peut-être ceci va -t","ADV ceci PRES t","Balzac-Goriot"
"450","ceci","ceci va -t -il","ceci PRES t il","Balzac-Goriot"
"451","va","va -t -il m’","PRES t il NP","Balzac-Goriot"
"452","-t","-t -il m’ amuser","t il NP INF","Balzac-Goriot"
"453","-il","-il m’ amuser .","il NP INF .","Balzac-Goriot"
"454","m’","m’ amuser . Après","NP INF . après","Balzac-Goriot"
"455","amuser","amuser . Après avoir","INF . après avoir","Balzac-Goriot"
"456",".",". Après avoir lu",". après avoir PPAS","Balzac-Goriot"
"457","Après","Après avoir lu les","après avoir PPAS le","Balzac-Goriot"
"458","avoir","avoir lu les secrètes","avoir PPAS le NC","Balzac-Goriot"
"459","lu","lu les secrètes infortunes","PPAS le NC NCABS","Balzac-Goriot"
"460","les","les secrètes infortunes de","le NC NCABS de","Balzac-Goriot"
"461","secrètes","secrètes infortunes de le","NC NCABS de le","Balzac-Goriot"
"462","infortunes","infortunes de le père","NCABS de le NC","Balzac-Goriot"
"463","de","de le père Goriot","de le NC NP","Balzac-Goriot"
"464","le","le père Goriot ,","le NC NP ,","Balzac-Goriot"
"465","père","père Goriot , vous","NC NP , vous","Balzac-Goriot"
"466","Goriot","Goriot , vous dînerez","NP , vous PRES","Balzac-Goriot"
"467",",",", vous dînerez avec",", vous PRES avec","Balzac-Goriot"
"468","vous","vous dînerez avec appétit","vous PRES avec NC","Balzac-Goriot"
"469","dînerez","dînerez avec appétit en","PRES avec NC en","Balzac-Goriot"
"470","avec","avec appétit en mettant","avec NC en PPRES","Balzac-Goriot"
"471","appétit","appétit en mettant votre","NC en PPRES DETPOSS","Balzac-Goriot"
"472","en","en mettant votre insensibilité","en PPRES DETPOSS NCABS","Balzac-Goriot"
"473","mettant","mettant votre insensibilité sur","PPRES DETPOSS NCABS sur","Balzac-Goriot"
"474","votre","votre insensibilité sur le","DETPOSS NCABS sur le","Balzac-Goriot"
"475","insensibilité","insensibilité sur le compte","NCABS sur le NC","Balzac-Goriot"
"476","sur","sur le compte de","sur le NC de","Balzac-Goriot"
"477","le","le compte de l’","le NC de NP","Balzac-Goriot"
"478","compte","compte de l’ auteur","NC de NP NC","Balzac-Goriot"
"479","de","de l’ auteur ,","de NP NC ,","Balzac-Goriot"
"480","l’","l’ auteur , en","NP NC , en","Balzac-Goriot"
"481","auteur","auteur , en le","NC , en le","Balzac-Goriot"
"482",",",", en le taxant",", en le NC","Balzac-Goriot"
"483","en","en le taxant d’","en le NC NP","Balzac-Goriot"
"484","le","le taxant d’ exagération","le NC NP NCABS","Balzac-Goriot"
"485","taxant","taxant d’ exagération ,","NC NP NCABS ,","Balzac-Goriot"
"486","d’","d’ exagération , en","NP NCABS , en","Balzac-Goriot"
"487","exagération","exagération , en l’","NCABS , en NP","Balzac-Goriot"
"488",",",", en l’ accusant",", en NP PPRES","Balzac-Goriot"
"489","en","en l’ accusant de","en NP PPRES de","Balzac-Goriot"
"490","l’","l’ accusant de poésie","NP PPRES de NC","Balzac-Goriot"
"491","accusant","accusant de poésie .","PPRES de NC .","Balzac-Goriot"
"492","de","de poésie . Ah","de NC . INTJ","Balzac-Goriot"
"493","poésie","poésie . Ah !","NC . INTJ !","Balzac-Goriot"
"494",".",". Ah ! sachez",". INTJ ! IMP","Balzac-Goriot"
"495","Ah","Ah ! sachez -le","INTJ ! IMP le","Balzac-Goriot"
"496","!","! sachez -le :","! IMP le :","Balzac-Goriot"
"497","sachez","sachez -le : ce","IMP le : ce","Balzac-Goriot"
"498","-le","-le : ce drame","le : ce NCABS","Balzac-Goriot"
"499",":",": ce drame n’",": ce NCABS NP","Balzac-Goriot"
"500","ce","ce drame n’ est","ce NCABS NP être","Balzac-Goriot"
"501","drame","drame n’ est ni","NCABS NP être ni","Balzac-Goriot"
"502","n’","n’ est ni une","NP être ni un","Balzac-Goriot"
"503","est","est ni une fiction","être ni un NC","Balzac-Goriot"
"504","ni","ni une fiction ,","ni un NC ,","Balzac-Goriot"
"505","une","une fiction , ni","un NC , ni","Balzac-Goriot"
"506","fiction","fiction , ni un","NC , ni un","Balzac-Goriot"
"507",",",", ni un roman",", ni un NC","Balzac-Goriot"
"508","ni","ni un roman .","ni un NC .","Balzac-Goriot"
"509","un","un roman . All","un NC . NC","Balzac-Goriot"
"510","roman","roman . All is","NC . NC ADJ","Balzac-Goriot"
"511",".",". All is true",". NC ADJ ADJ","Balzac-Goriot"
"512","All","All is true ,","NC ADJ ADJ ,","Balzac-Goriot"
"513","is","is true , il","ADJ ADJ , il","Balzac-Goriot"
"514","true","true , il est","ADJ , il être","Balzac-Goriot"
"515",",",", il est si",", il être si","Balzac-Goriot"
"516","il","il est si véritable","il être si ADJ","Balzac-Goriot"
"517","est","est si véritable ,","être si ADJ ,","Balzac-Goriot"
"518","si","si véritable , que","si ADJ , que","Balzac-Goriot"
"519","véritable","véritable , que chacun","ADJ , que chacun","Balzac-Goriot"
"520",",",", que chacun peut",", que chacun PRES","Balzac-Goriot"
"521","que","que chacun peut en","que chacun PRES en","Balzac-Goriot"
"522","chacun","chacun peut en reconnaître","chacun PRES en INF","Balzac-Goriot"
"523","peut","peut en reconnaître les","PRES en INF le","Balzac-Goriot"
"524","en","en reconnaître les éléments","en INF le NC","Balzac-Goriot"
"525","reconnaître","reconnaître les éléments chez","INF le NC chez","Balzac-Goriot"
"526","les","les éléments chez soi","le NC chez soi","Balzac-Goriot"
"527","éléments","éléments chez soi ,","NC chez soi ,","Balzac-Goriot"
"528","chez","chez soi , dans","chez soi , dans","Balzac-Goriot"
"529","soi","soi , dans son","soi , dans DETPOSS","Balzac-Goriot"
"530",",",", dans son cœur",", dans DETPOSS NC","Balzac-Goriot"
"531","dans","dans son cœur peut-être","dans DETPOSS NC ADV","Balzac-Goriot"
"532","son","son cœur peut-être !","DETPOSS NC ADV !","Balzac-Goriot"
"533","cœur","cœur peut-être ! La","NC ADV ! le","Balzac-Goriot"
"534","peut-être","peut-être ! La maison","ADV ! le NC","Balzac-Goriot"
"535","!","! La maison où","! le NC où","Balzac-Goriot"
"536","La","La maison où s’","le NC où NP","Balzac-Goriot"
"537","maison","maison où s’ exploite","NC où NP PRES","Balzac-Goriot"
"538","où","où s’ exploite la","où NP PRES le","Balzac-Goriot"
"539","s’","s’ exploite la pension","NP PRES le NC","Balzac-Goriot"
"540","exploite","exploite la pension bourgeoise","PRES le NC ADJ","Balzac-Goriot"
"541","la","la pension bourgeoise appartient","le NC ADJ PRES","Balzac-Goriot"
"542","pension","pension bourgeoise appartient à","NC ADJ PRES à","Balzac-Goriot"
"543","bourgeoise","bourgeoise appartient à madame","ADJ PRES à NC","Balzac-Goriot"
"544","appartient","appartient à madame Vauquer","PRES à NC NP","Balzac-Goriot"
"545","à","à madame Vauquer .","à NC NP .","Balzac-Goriot"
"546","madame","madame Vauquer . Elle","NC NP . elle","Balzac-Goriot"
"547","Vauquer","Vauquer . Elle est","NP . elle être","Balzac-Goriot"
"548",".",". Elle est située",". elle être PPAS","Balzac-Goriot"
"549","Elle","Elle est située dans","elle être PPAS dans","Balzac-Goriot"
"550","est","est située dans le","être PPAS dans le","Balzac-Goriot"
"551","située","située dans le bas","PPAS dans le NC","Balzac-Goriot"
"552","dans","dans le bas de","dans le NC de","Balzac-Goriot"
"553","le","le bas de la","le NC de le","Balzac-Goriot"
"554","bas","bas de la rue","NC de le NC","Balzac-Goriot"
"555","de","de la rue Neuve-Sainte-Geneviève","de le NC NP","Balzac-Goriot"
"556","la","la rue Neuve-Sainte-Geneviève ,","le NC NP ,","Balzac-Goriot"
"557","rue","rue Neuve-Sainte-Geneviève , à","NC NP , à","Balzac-Goriot"
"558","Neuve-Sainte-Geneviève","Neuve-Sainte-Geneviève , à l’","NP , à NP","Balzac-Goriot"
"559",",",", à l’ endroit",", à NP NC","Balzac-Goriot"
"560","à","à l’ endroit où","à NP NC où","Balzac-Goriot"
"561","l’","l’ endroit où le","NP NC où le","Balzac-Goriot"
"562","endroit","endroit où le terrain","NC où le NC","Balzac-Goriot"
"563","où","où le terrain s’","où le NC NP","Balzac-Goriot"
"564","le","le terrain s’ abaisse","le NC NP PRES","Balzac-Goriot"
"565","terrain","terrain s’ abaisse vers","NC NP PRES vers","Balzac-Goriot"
"566","s’","s’ abaisse vers la","NP PRES vers le","Balzac-Goriot"
"567","abaisse","abaisse vers la rue","PRES vers le NC","Balzac-Goriot"
"568","vers","vers la rue de","vers le NC de","Balzac-Goriot"
"569","la","la rue de l’","le NC de NP","Balzac-Goriot"
"570","rue","rue de l’ Arbalète","NC de NP PRES","Balzac-Goriot"
"571","de","de l’ Arbalète par","de NP PRES par","Balzac-Goriot"
"572","l’","l’ Arbalète par une","NP PRES par un","Balzac-Goriot"
"573","Arbalète","Arbalète par une pente","PRES par un NC","Balzac-Goriot"
"574","par","par une pente si","par un NC si","Balzac-Goriot"
"575","une","une pente si brusque","un NC si ADJ","Balzac-Goriot"
"576","pente","pente si brusque et","NC si ADJ et","Balzac-Goriot"
"577","si","si brusque et si","si ADJ et si","Balzac-Goriot"
"578","brusque","brusque et si rude","ADJ et si ADJ","Balzac-Goriot"
"579","et","et si rude que","et si ADJ que","Balzac-Goriot"
"580","si","si rude que les","si ADJ que le","Balzac-Goriot"
"581","rude","rude que les chevaux","ADJ que le NC","Balzac-Goriot"
"582","que","que les chevaux la","que le NC le","Balzac-Goriot"
"583","les","les chevaux la montent","le NC le PRES","Balzac-Goriot"
"584","chevaux","chevaux la montent ou","NC le PRES ou","Balzac-Goriot"
"585","la","la montent ou la","le PRES ou le","Balzac-Goriot"
"586","montent","montent ou la descendent","PRES ou le PRES","Balzac-Goriot"
"587","ou","ou la descendent rarement","ou le PRES ADVFRE","Balzac-Goriot"
"588","la","la descendent rarement .","le PRES ADVFRE .","Balzac-Goriot"
"589","descendent","descendent rarement . Cette","PRES ADVFRE . ce","Balzac-Goriot"
"590","rarement","rarement . Cette circonstance","ADVFRE . ce NC","Balzac-Goriot"
"591",".",". Cette circonstance est",". ce NC être","Balzac-Goriot"
"592","Cette","Cette circonstance est favorable","ce NC être ADJ","Balzac-Goriot"
"593","circonstance","circonstance est favorable à","NC être ADJ à","Balzac-Goriot"
"594","est","est favorable à le","être ADJ à le","Balzac-Goriot"
"595","favorable","favorable à le silence","ADJ à le NC","Balzac-Goriot"
"596","à","à le silence qui","à le NC qui","Balzac-Goriot"
"597","le","le silence qui règne","le NC qui PRES","Balzac-Goriot"
"598","silence","silence qui règne dans","NC qui PRES dans","Balzac-Goriot"
"599","qui","qui règne dans ces","qui PRES dans ce","Balzac-Goriot"
"600","règne","règne dans ces rues","PRES dans ce NC","Balzac-Goriot"
"601","dans","dans ces rues entre","dans ce NC entre","Balzac-Goriot"
"602","ces","ces rues entre le","ce NC entre le","Balzac-Goriot"
"603","rues","rues entre le dôme","NC entre le NC","Balzac-Goriot"
"604","entre","entre le dôme de","entre le NC de","Balzac-Goriot"
"605","le","le dôme de le","le NC de le","Balzac-Goriot"
"606","dôme","dôme de le Val-de-Grâce","NC de le NP","Balzac-Goriot"
"607","de","de le Val-de-Grâce et","de le NP et","Balzac-Goriot"
"608","le","le Val-de-Grâce et le","le NP et le","Balzac-Goriot"
"609","Val-de-Grâce","Val-de-Grâce et le dôme","NP et le NC","Balzac-Goriot"
"610","et","et le dôme de","et le NC de","Balzac-Goriot"
"611","le","le dôme de le","le NC de le","Balzac-Goriot"
"612","dôme","dôme de le Panthéon","NC de le NP","Balzac-Goriot"
"613","de","de le Panthéon ,","de le NP ,","Balzac-Goriot"
"614","le","le Panthéon , deux","le NP , NUM","Balzac-Goriot"
"615","Panthéon","Panthéon , deux monuments","NP , NUM NC","Balzac-Goriot"
"616",",",", deux monuments qui",", NUM NC qui","Balzac-Goriot"
"617","deux","deux monuments qui changent","NUM NC qui PRES","Balzac-Goriot"
"618","monuments","monuments qui changent les","NC qui PRES le","Balzac-Goriot"
"619","qui","qui changent les conditions","qui PRES le NC","Balzac-Goriot"
"620","changent","changent les conditions de","PRES le NC de","Balzac-Goriot"
"621","les","les conditions de l’","le NC de NP","Balzac-Goriot"
"622","conditions","conditions de l’ atmosphère","NC de NP PRES","Balzac-Goriot"
"623","de","de l’ atmosphère en","de NP PRES en","Balzac-Goriot"
"624","l’","l’ atmosphère en y","NP PRES en y","Balzac-Goriot"
"625","atmosphère","atmosphère en y jetant","PRES en y PPRES","Balzac-Goriot"
"626","en","en y jetant de","en y PPRES de","Balzac-Goriot"
"627","y","y jetant de les","y PPRES de le","Balzac-Goriot"
"628","jetant","jetant de les tons","PPRES de le NC","Balzac-Goriot"
"629","de","de les tons ,","de le NC ,","Balzac-Goriot"
"630","les","les tons , en","le NC , en","Balzac-Goriot"
"631","tons","tons , en y","NC , en y","Balzac-Goriot"
"632",",",", en y assombrissant",", en y PPRES","Balzac-Goriot"
"633","en","en y assombrissant tout","en y PPRES tout","Balzac-Goriot"
"634","y","y assombrissant tout par","y PPRES tout par","Balzac-Goriot"
"635","assombrissant","assombrissant tout par les","PPRES tout par le","Balzac-Goriot"
"636","tout","tout par les teintes","tout par le NC","Balzac-Goriot"
"637","par","par les teintes sévères","par le NC ADJ","Balzac-Goriot"
"638","les","les teintes sévères que","le NC ADJ que","Balzac-Goriot"
"639","teintes","teintes sévères que projettent","NC ADJ que PRES","Balzac-Goriot"
"640","sévères","sévères que projettent leurs","ADJ que PRES DETPOSS","Balzac-Goriot"
"641","que","que projettent leurs coupoles","que PRES DETPOSS NC","Balzac-Goriot"
